Period,Scenario,Median,P25,P75,P10,P90,P5,P95
2021-2040,RCP4.5,2.7,1.2,3.8,0.9,8.3,0.9,8.5
2041-2060,RCP4.5,2.8,1.6,4.2,1.3,4.5,1.2,4.7
2081-2100,RCP4.5,5.5,3.9,6.3,2.1,8,1.9,8.8
,,,,,,,,
CORDEX Europe - Total precipitation (PR) Change % - Long Term (2081-2100) RCP4.5 (rel. to 1981-2010) - December to February (21 models)-NEU, WCE, MED,,,,,,
